RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
395053,50,"Salt Lake City, UT",Msa,UT,418363.0,423595.0,430933.0,436930.0,444174.0,448224.0,449723.0,447130.0,441811.0,434315.0,429447.0,427305.0,427591.0,431339.0,438800.0,451330.0,462182.0,469179.0,467394.0,462075.0,456863.0,455078.0,455614.0,459219.0,466216.0,478139.0,487028.0,485386.0,481816.0,484359.0,495105.0,500495.0,499736.0,496798.0,502010.0,514183.0,"","","","","","",""
395031,51,"Rochester, NY",Msa,NY,184651.0,191825.0,202083.0,214099.0,223067.0,227156.0,223748.0,216574.0,209401.0,204379.0,199716.0,199716.0,205061.0,216929.0,229519.0,242464.0,248745.0,251435.0,249251.0,244731.0,236481.0,225721.0,217686.0,210656.0,210692.0,220520.0,236801.0,254699.0,263666.0,268907.0,269624.0,269301.0,262127.0,254236.0,247385.0,254374.0,262313.0,276484.0,283075.0,285975.0,279308.0,268267.0,258267.0
394640,52,"Grand Rapids, MI",Msa,MI,261917.0,270417.0,282117.0,291833.0,298300.0,299967.0,298300.0,293500.0,288467.0,285316.0,286783.0,288449.0,289900.0,292933.0,299300.0,307667.0,312967.0,313267.0,310233.0,305233.0,301433.0,296100.0,292767.0,289900.0,292933.0,297933.0,306267.0,313233.0,318233.0,319900.0,321267.0,321300.0,321300.0,316900.0,316833.0,317700.0,323525.0,330225.0,337250.0,343944.0,348978.0,354119.0,357967.0
395167,53,"Tucson, AZ",Msa,AZ,260933.0,264300.0,269333.0,274997.0,279997.0,281330.0,281300.0,280900.0,282900.0,282900.0,281300.0,279467.0,279500.0,282333.0,288167.0,294667.0,298800.0,298133.0,296150.0,292850.0,292817.0,292967.0,293967.0,292300.0,292633.0,294933.0,298300.0,298933.0,300600.0,308933.0,319933.0,329967.0,328292.0,323325.0,319992.0,321667.0,327663.0,335997.0,349330.0,364967.0,376633.0,384633.0,384633.0
753924,54,"Urban Honolulu, HI",Msa,HI,663000.0,661333.0,654667.0,648333.0,651333.0,658000.0,663000.0,668333.0,671333.0,669333.0,664333.0,659667.0,666333.0,668000.0,671333.0,667667.0,669000.0,669667.0,669667.0,668333.0,661000.0,655000.0,649667.0,649333.0,644633.0,639967.0,631967.0,623333.0,611333.0,606333.0,609000.0,609333.0,601000.0,591633.0,591300.0,599467.0,"","","","","","",""
395169,55,"Tulsa, OK",Msa,OK,192546.0,193828.0,197924.0,203239.0,206366.0,206991.0,206366.0,206335.0,206178.0,206147.0,206147.0,206147.0,206178.0,209024.0,215121.0,222938.0,229504.0,232631.0,234163.0,233381.0,234084.0,235648.0,237993.0,239166.0,237602.0,237602.0,240729.0,246983.0,254799.0,264148.0,272278.0,276968.0,276999.0,277779.0,277569.0,276997.0,275363.0,275000.0,288333.0,301667.0,313300.0,304633.0,292967.0
394619,56,"Fresno, CA",Msa,CA,333472.0,331447.0,331434.0,334145.0,337919.0,341316.0,341350.0,339634.0,336203.0,334407.0,332349.0,328952.0,324572.0,323200.0,325259.0,333150.0,344301.0,354251.0,362485.0,363308.0,362965.0,357990.0,353681.0,350593.0,350384.0,353012.0,358158.0,360251.0,366002.0,372864.0,383160.0,389418.0,391099.0,390170.0,390170.0,388488.0,388207.0,387129.0,390433.0,401233.0,415267.0,424967.0,424667.0
395238,57,"Worcester, MA",Msa,MA,280006.0,281917.0,288256.0,297781.0,308611.0,315014.0,317913.0,316320.0,314696.0,310204.0,307019.0,303515.0,301922.0,303833.0,312115.0,324857.0,335975.0,343970.0,344958.0,341772.0,336676.0,333490.0,331929.0,330305.0,329349.0,330942.0,340817.0,351934.0,363880.0,371875.0,378246.0,381910.0,381591.0,382536.0,385402.0,391600.0,"","","","","","",""
394415,58,"Stamford, CT",Msa,CT,675436.0,710948.0,753457.0,777015.0,782816.0,778984.0,766677.0,750328.0,737670.0,737319.0,733802.0,730603.0,727403.0,731236.0,743577.0,757325.0,764392.0,755250.0,737987.0,714253.0,697903.0,692665.0,697060.0,699696.0,702860.0,713408.0,727122.0,734506.0,743278.0,760859.0,779845.0,786543.0,778105.0,767557.0,753492.0,747687.0,744849.0,782076.0,812633.0,829000.0,819167.0,802800.0,779467.0
394312,59,"Albuquerque, NM",Msa,NM,238813.0,240443.0,245201.0,251719.0,257943.0,261039.0,259377.0,254815.0,249274.0,247645.0,247645.0,249111.0,249144.0,252370.0,257418.0,263936.0,267880.0,270979.0,272576.0,273521.0,273395.0,273395.0,273102.0,271761.0,273390.0,279908.0,288055.0,292976.0,299820.0,312856.0,327534.0,335694.0,336346.0,336534.0,335699.0,336537.0,337237.0,339670.0,347043.0,353710.0,362997.0,366630.0,369797.0
394308,60,"Albany, NY",Msa,NY,237805.0,241467.0,245818.0,247268.0,248718.0,250894.0,255154.0,258743.0,258743.0,257907.0,257944.0,257944.0,257057.0,257239.0,260683.0,265759.0,269530.0,271523.0,273662.0,273336.0,269675.0,266049.0,264599.0,264635.0,262822.0,263910.0,269312.0,276563.0,284177.0,295054.0,305931.0,311732.0,"","","",290507.0,"","","","","","",""
394938,61,"Omaha, NE",Msa,NE,278019.0,285881.0,294273.0,304401.0,309684.0,309717.0,306347.0,302977.0,300280.0,293944.0,287476.0,285083.0,288032.0,296303.0,309818.0,322626.0,329552.0,326492.0,322537.0,317493.0,311453.0,301758.0,293489.0,290750.0,293311.0,302276.0,311217.0,317958.0,322171.0,326721.0,330917.0,331085.0,326569.0,323447.0,320117.0,320365.0,320514.0,327374.0,335449.0,342385.0,342618.0,333292.0,320800.0
394908,62,"New Haven, CT",Msa,CT,284314.0,290978.0,301132.0,312996.0,321720.0,327302.0,327616.0,322731.0,317462.0,313659.0,310168.0,304969.0,300433.0,302144.0,309086.0,319206.0,324300.0,324337.0,319068.0,314008.0,308739.0,305250.0,303156.0,301447.0,299702.0,299702.0,304901.0,310135.0,320952.0,331106.0,345064.0,348553.0,347157.0,340178.0,335642.0,326919.0,320294.0,317981.0,324933.0,339900.0,351567.0,356433.0,349800.0
394357,63,"Bakersfield, CA",Msa,CA,248962.0,251880.0,257300.0,263392.0,266599.0,267881.0,267400.0,264482.0,259672.0,254862.0,251367.0,248192.0,246557.0,245275.0,248064.0,254619.0,261032.0,264655.0,265829.0,264867.0,262927.0,258406.0,256129.0,254830.0,256145.0,257777.0,262299.0,264223.0,265829.0,265829.0,269036.0,276732.0,285069.0,293069.0,294993.0,290183.0,284094.0,281292.0,287300.0,294000.0,305296.0,311296.0,317963.0
394753,64,"Knoxville, TN",Msa,TN,264600.0,263267.0,266933.0,276933.0,286900.0,291600.0,289933.0,283267.0,276600.0,271300.0,266333.0,265633.0,262600.0,263267.0,266600.0,276467.0,287967.0,295300.0,298767.0,299900.0,298233.0,293267.0,284967.0,278333.0,275000.0,277333.0,285633.0,293933.0,303233.0,313233.0,328233.0,339767.0,339767.0,330800.0,315933.0,305933.0,299900.0,303133.0,312833.0,337867.0,359300.0,368433.0,359766.0
394653,65,"Greenville, SC",Msa,SC,257405.0,259137.0,263591.0,269648.0,273624.0,276506.0,276791.0,276474.0,271674.0,266918.0,262447.0,259942.0,258388.0,259530.0,264827.0,272753.0,279412.0,280425.0,276937.0,270723.0,267266.0,265966.0,265935.0,264666.0,263112.0,266030.0,270501.0,273671.0,276525.0,282359.0,287178.0,289080.0,287146.0,287854.0,286458.0,283554.0,279327.0,279297.0,286300.0,302967.0,316300.0,329933.0,335310.0
394952,66,"Ventura, CA",Msa,CA,779483.0,780817.0,777650.0,785667.0,779319.0,772652.0,756319.0,748000.0,728316.0,711616.0,696583.0,689900.0,688266.0,691300.0,701000.0,712333.0,725667.0,739300.0,749633.0,761633.0,774667.0,784633.0,784633.0,781600.0,783300.0,796633.0,813667.0,810667.0,805333.0,808333.0,832667.0,856333.0,868000.0,871583.0,864750.0,864750.0,"","","","","","",""
394318,67,"Allentown, PA",Msa,PA,222433.0,222297.0,224997.0,232130.0,237267.0,240933.0,242933.0,241467.0,236767.0,231767.0,228267.0,226600.0,223967.0,225600.0,230600.0,238267.0,244633.0,248000.0,251300.0,251600.0,250067.0,246733.0,243917.0,242083.0,240450.0,243300.0,253300.0,261633.0,268267.0,269967.0,277967.0,284333.0,289000.0,289467.0,289467.0,289767.0,292933.0,304933.0,316600.0,324933.0,324933.0,321633.0,313333.0
394561,68,"El Paso, TX",Msa,TX,183293.0,183492.0,183675.0,184381.0,184907.0,186718.0,188892.0,191265.0,191989.0,192189.0,192370.0,193638.0,196536.0,199597.0,202296.0,204270.0,206281.0,207911.0,207911.0,207151.0,206444.0,206462.0,207929.0,207926.0,207926.0,206477.0,206462.0,206082.0,206989.0,208819.0,212442.0,215139.0,216932.0,217636.0,"","","",231113.0,233098.0,236283.0,242283.0,248297.0,252147.0
394367,69,"Baton Rouge, LA",Msa,LA,230906.0,231600.0,234600.0,239600.0,244600.0,248267.0,248381.0,246715.0,244881.0,243133.0,241500.0,239967.0,239967.0,241433.0,243800.0,248433.0,253300.0,255967.0,254667.0,250967.0,247600.0,245267.0,243283.0,241650.0,240617.0,241600.0,244900.0,247933.0,249833.0,253167.0,257833.0,263633.0,267667.0,271300.0,271933.0,271233.0,269600.0,271267.0,276297.0,285063.0,293397.0,298367.0,299597.0
394521,70,"Dayton, OH",Msa,OH,128267.0,126300.0,129967.0,134933.0,139933.0,144600.0,149600.0,151567.0,149850.0,146517.0,144183.0,142567.0,142555.0,143222.0,148222.0,153233.0,161233.0,167900.0,176233.0,179900.0,178233.0,172262.0,167962.0,165325.0,163997.0,166630.0,177633.0,189267.0,199933.0,204900.0,205567.0,202800.0,199467.0,202833.0,206115.0,206782.0,205778.0,209463.0,212163.0,216467.0,219967.0,226600.0,228267.0
394843,71,"McAllen, TX",Msa,TX,192167.0,190467.0,190433.0,191567.0,193100.0,194800.0,194833.0,195000.0,196000.0,195000.0,193333.0,190633.0,189967.0,192633.0,195833.0,200833.0,204000.0,207169.0,207169.0,204669.0,201633.0,199967.0,199967.0,199967.0,199800.0,199633.0,199500.0,199333.0,202500.0,208000.0,215000.0,218667.0,223000.0,227833.0,231167.0,230500.0,227333.0,227333.0,231667.0,238333.0,244667.0,250417.0,255083.0
394486,72,"Columbia, SC",Msa,SC,201567.0,201600.0,206300.0,214633.0,222933.0,229933.0,231600.0,230361.0,228611.0,226977.0,229917.0,231667.0,235967.0,236833.0,238500.0,242200.0,246000.0,249000.0,245967.0,241300.0,236600.0,233267.0,230358.0,227899.0,227899.0,231313.0,235802.0,240502.0,244663.0,247633.0,250933.0,252933.0,252933.0,249100.0,246175.0,244541.0,246408.0,249033.0,254000.0,259800.0,264650.0,267542.0,271208.0
394648,73,"Greensboro, NC",Msa,NC,195833.0,199162.0,207162.0,218995.0,229633.0,235633.0,242267.0,248933.0,256200.0,257567.0,254233.0,249933.0,248600.0,251933.0,259933.0,269600.0,279600.0,281267.0,279421.0,271455.0,269488.0,266633.0,265600.0,263267.0,261497.0,260530.0,262863.0,263000.0,269633.0,278217.0,289317.0,295683.0,290733.0,282633.0,269600.0,262933.0,260422.0,258755.0,262088.0,267767.0,272767.0,275467.0,275933.0
394304,74,"Akron, OH",Msa,OH,145900.0,143933.0,144633.0,151167.0,159667.0,167967.0,173100.0,172933.0,169300.0,164300.0,159600.0,154900.0,151567.0,151600.0,154967.0,159967.0,166633.0,173267.0,177633.0,177600.0,173467.0,169100.0,163300.0,157433.0,152433.0,151600.0,156600.0,163267.0,171267.0,177967.0,183333.0,186667.0,183300.0,179600.0,171550.0,164917.0,158183.0,157233.0,163900.0,174550.0,183850.0,188817.0,188267.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,358063.0,359467.0,360301.0,360284.0,362284.0,364990.0,368474.0,367840.0,362967.0,358167.0,354467.0,352800.0,353967.0,356300.0,361300.0,366633.0,371967.0,376933.0,376933.0,374966.0,370833.0,370373.0,372673.0,375173.0,375633.0,375000.0,375000.0,370777.0,367383.0,366383.0,372240.0,377077.0,379711.0,379711.0,379900.0,382933.0,"","","","","","",""
394798,76,"Little Rock, AR",Msa,AR,168381.0,170834.0,172520.0,174941.0,177118.0,178650.0,178374.0,176811.0,175278.0,175432.0,175462.0,175462.0,174665.0,175278.0,178068.0,181798.0,188818.0,193723.0,197686.0,197717.0,196154.0,194621.0,192230.0,191341.0,190421.0,191280.0,194958.0,198943.0,203541.0,205350.0,206576.0,205043.0,205074.0,205813.0,209484.0,211594.0,213858.0,214415.0,221000.0,226000.0,230966.0,231600.0,233233.0
395134,77,"Stockton, CA",Msa,CA,358084.0,359931.0,358397.0,359962.0,360917.0,367178.0,368743.0,367819.0,364658.0,361214.0,359336.0,357802.0,354985.0,353733.0,356550.0,369071.0,384692.0,397370.0,405196.0,410768.0,412474.0,410839.0,409978.0,411403.0,409876.0,408048.0,407891.0,409394.0,410925.0,417185.0,427609.0,440131.0,445140.0,445766.0,442635.0,442933.0,445805.0,458990.0,466667.0,483000.0,489633.0,512467.0,529466.0
