RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
395167,53,"Tucson, AZ",Msa,AZ,10021.5546,9947.4941,10052.3914,9117.2996,8511.676,8176.7803,8338.0096,8452.6731,8502.1504,9905.1352,10378.9755,10843.8861,9785.1211,9969.0574,9825.9025,9669.055,9116.8644,8927.2367,9082.6202,8846.2297,8624.4993,8513.1624,8638.9611,9526.1117,10167.7458,10175.3885,9698.8486,9582.5401,10332.5403,10198.2941,10571.218,10422.8178,10993.5901,10534.7468,11096.6444,12256.0666,13741.7608,14350.263,14891.2822,15718.8871,15621.1246
753924,54,"Urban Honolulu, HI",Msa,HI,32847.6776,29218.3669,27722.9845,29201.5477,28029.4683,26716.8132,26226.165,26533.1689,26972.9096,26524.468,27180.6413,26172.7723,26802.9944,26097.101,26133.7731,25871.2327,26095.6274,27687.3049,28193.0669,29823.0931,29814.7811,30516.0375,30700.1094,32027.9653,30280.2424,27780.9053,25218.289,24786.7574,24428.7011,25483.7548,27880.2909,29177.0632,33200.1236,31111.1949,34441.7795,31780.8161,34055.7917,32958.8862,34321.8197,36655.3867,38510.5186
395169,55,"Tulsa, OK",Msa,OK,6911.0728,7243.0254,7308.337,7125.3483,6975.4885,7036.7961,6823.9049,6582.2858,6390.7665,6514.4813,6964.9812,7302.1176,7642.154,7889.822,8162.6014,8464.2488,8236.7279,8121.3599,7912.9319,7880.2638,8074.5121,8017.6735,8435.8691,8736.5504,8803.4095,8505.0261,8498.8827,8956.2478,9264.9899,9270.5148,8959.5809,8957.8914,8654.6901,8793.4837,9453.2762,11731.9744,12944.8803,15040.311,14600.7653,15111.978,13828.3099
394619,56,"Fresno, CA",Msa,CA,10569.5471,10516.6045,11256.9137,10619.7127,10335.3764,9782.622,9854.4873,9858.8656,10044.293,9492.3214,9069.9771,8968.7591,9798.2824,10259.6924,10901.509,10775.6746,10818.688,10409.2465,10223.3521,9960.4522,9646.1524,9266.6363,9213.9458,9871.8852,10511.6003,10924.3325,10503.7971,10631.6814,11157.0734,12230.9618,12976.7992,13466.245,12608.1872,11941.8582,11986.1327,14413.9638,16840.5317,18605.8623,17950.8501,18589.85,18790.7799
395238,57,"Worcester, MA",Msa,MA,10150.1723,10573.7455,10918.299,11718.7837,11677.4045,11492.4089,11149.5145,11189.8111,10839.3341,10324.3378,9796.8616,9738.4014,10097.8738,10257.9192,10590.9611,10979.0474,11183.8476,11230.7162,10969.2321,10778.3009,10312.6964,9583.1701,9854.6971,10491.2803,11909.9261,12312.9092,12190.646,12158.4399,12797.3838,13801.2093,14615.6697,14929.2402,14381.8739,14354.2098,14743.243,16221.0121,16760.4492,16839.3766,18350.8768,18949.2797,19072.03
394415,58,"Stamford, CT",Msa,CT,35865.3667,38890.7675,40068.8879,39230.7561,34410.0943,31531.8157,31700.2182,32820.0404,32588.1259,29457.8001,32007.6541,37424.5008,41385.5606,42298.1136,39027.1593,38146.1568,35017.135,31716.3914,32689.4367,31318.3377,31564.0852,28049.4626,32305.497,37650.9234,39464.0718,34189.5706,31275.0376,32116.8156,35224.8749,36053.3734,39606.9086,42456.3696,42447.9836,37771.3181,39351.0185,46615.985,55521.1596,57545.6082,57329.1747,53844.8493,50987.0569
394312,59,"Albuquerque, NM",Msa,NM,6871.7345,7386.4534,7680.7889,7744.3382,7381.0073,6988.2366,6749.026,6802.4653,6863.2126,6560.961,6552.8607,6563.8711,6980.1041,7204.8331,7683.4101,7792.9771,7825.0007,7800.3116,8054.7914,8057.0899,7878.311,7622.6987,7731.4722,7866.7705,7898.566,7718.0726,7722.1376,8266.2885,8844.3672,9146.4137,9376.7549,9272.2112,9202.9689,9119.4586,9305.9819,9895.2195,10805.6903,11701.8047,13169.8102,13444.5376,13960.5808
394308,60,"Albany, NY",Msa,NY,9717.1934,10290.8644,10275.4303,10203.3068,10345.3421,10327.298,10193.9574,9838.9654,9365.4324,9065.8712,8655.6943,8938.6975,9278.9546,9746.6158,9719.5641,9906.1511,9765.7117,9890.6308,9405.5129,9194.6865,8591.2503,8132.0262,7973.9217,8356.5894,8870.2948,9200.3686,9234.0869,10001.1182,10537.4624,11337.4383,11108.89,10860.1802,10449.2916,10001.419,9638.2401,8842.4473,9700.5459,11088.2177,12956.8893,13953.711,13704.0198
394938,61,"Omaha, NE",Msa,NE,7986.865,8371.7498,8316.3666,8579.9531,8849.8081,8825.3846,8527.9336,8217.6468,7722.2125,7401.1498,6989.6259,7076.7221,7616.1987,8393.0788,8872.8017,8935.7868,8704.8022,8784.4574,8580.1763,8470.0528,7922.6009,7649.6388,7287.4729,7238.3952,7411.7014,7419.1063,7916.2155,8362.826,9428.6729,9952.9491,10276.8035,10132.6942,9982.3059,9865.2249,9369.8928,11322.9765,11660.6297,13545.5572,13045.2594,13856.9616,13432.5498
394908,62,"New Haven, CT",Msa,CT,11619.8567,11843.7534,12889.8631,13557.9751,12870.5878,12401.5276,12355.4465,12503.2491,12177.4556,11988.9526,12364.4217,11589.7709,11416.8205,11310.268,12516.2571,12718.3933,12193.2645,11831.786,12041.5853,12113.643,11524.9292,11349.676,11056.5991,12545.1217,12772.2129,12882.9628,11835.6336,12156.3323,12704.5775,14538.7891,15688.8037,16070.5731,14999.9844,14099.5622,15357.6534,15469.6787,16330.2503,19024.3332,23104.4573,24338.4766,22956.7571
394357,63,"Bakersfield, CA",Msa,CA,8368.8845,8343.7605,8562.2783,8741.196,8921.2062,8688.7559,8167.9531,7883.1916,7497.7288,7485.8214,7473.8522,7458.4621,7495.0139,8003.7054,8193.1988,8626.2795,8545.6458,8599.1705,8607.6366,8368.2866,8584.4019,8428.0311,8409.7424,8956.6139,8826.8805,8700.0839,7824.6429,8778.4476,9513.1831,10068.964,9829.2222,9998.4324,10125.2478,10054.5067,9362.9642,9981.3091,11065.1039,12665.4147,13782.9549,15192.4038,15264.5216
394753,64,"Knoxville, TN",Msa,TN,8856.8729,9413.1607,9749.4155,9916.9551,9660.2559,9249.5157,8846.5866,8670.3113,8804.976,9402.9169,9520.7628,9298.0339,8962.5404,9348.1127,9819.109,10298.5159,10050.0687,10431.4709,10174.0012,9914.0664,9472.6033,8719.458,8583.3561,8752.2743,9617.2779,9601.7985,9663.9485,9669.9583,10336.9484,10603.1163,10930.368,10880.7783,10474.616,9836.204,10287.4732,12404.3216,12856.2655,15048.0021,16601.9958,18403.775,17102.2568
